question,A,B,C,D,answer,file
What is the recommended method for managing R packages in a code environment to benefit from pre-compiled packages?,Using CRAN,Using Conda,Using GitHub,Using Bioconductor,B,../data/dataiku\code-envs\operations-r.md
Where can you override the default CRAN mirror for R packages in Dataiku?,Administration > Code envs,Administration > Settings > Misc,Administration > Users,Administration > Projects,B,../data/dataiku\code-envs\operations-r.md
Which of the following permissions is advisory only in the context of Dataiku code environments?,Owner,Usable by all,Use,Update / Manage,C,../data/dataiku\code-envs\permissions.md
What are the two types of code environments for plugins in DSS?,Managed and semi-managed,Managed and non-managed,Non-managed and semi-managed,Automatic and manual,B,../data/dataiku\code-envs\plugins.md
What is the preferred mode for defining the requirements of a plugin in DSS?,Using a code environment definition,Using a manual installation process,Using a semi-managed environment,Using a predefined package,A,../data/dataiku\code-envs\plugins.md
What should a user do after installing a plugin that contains a code environment definition?,Restart the DSS instance,Create a code environment for the plugin,Manually install all required packages,Update the plugin configuration,B,../data/dataiku\code-envs\plugins.md
Which of the following commands would you use to install Python development headers on a Debian/Ubuntu system for Python 3.7?,sudo yum install python3.7-devel,sudo apt-get install python3.7-dev,sudo zypper install python3.7-devel,sudo yum install python3-devel,B,../data/dataiku\code-envs\troubleshooting.md
What is the likely cause of a 'Python.h not found' error during package installation?,Missing system development headers,Incorrect Python version,Insufficient user permissions,Network connectivity issues,A,../data/dataiku\code-envs\troubleshooting.md
What should you install on some Ubuntu systems if you encounter 'No module named distutils.spawn' error?,python3.7-dev,python3-distutils,python3-devel,build-essential,B,../data/dataiku\code-envs\troubleshooting.md
Which of the following packages is required to produce PDF documents from R Markdown reports in DSS?,rmarkdown,pandoc,adjustbox,knitr,C,../data/dataiku\code-reports\rmarkdown.md
What is the recommended method for running Python blocks in R Markdown reports in DSS?,Using the built-in DSS Python environment,Creating a Python code environment in DSS,Using the default R environment,Running Python scripts separately and importing results,B,../data/dataiku\code-reports\rmarkdown.md
Where are Project libraries available by default in the Code Studio?,/home/dataiku/workspace/project-lib-versioned,/home/dataiku/workspace/project-lib-resources,/home/dataiku/workspace/recipes,/home/dataiku/workspace/notebooks,A,../data/dataiku\code-studios\code-studio-operations.md
Which type of files are specific to each Code Studio and are not shared between Code Studios?,Project libraries,Project resources,Code Studio versioned files,User config files,C,../data/dataiku\code-studios\code-studio-operations.md
What is the recommended location for large files in a Code Studio?,Project libraries,Project resources,Code Studio versioned files,User config files,B,../data/dataiku\code-studios\code-studio-operations.md
Which of the following is a requirement for using Code Studios in Dataiku?,Having a containerized execution config.,Using Dataiku Cloud Stacks.,Having a cluster defined.,All of the above.,D,../data/dataiku\code-studios\code-studio-requirements.md
Which of the following blocks is used to add the VS Code IDE in the Code Studio?,JupyterLab server,RStudio,Visual Studio Code,Streamlit,C,../data/dataiku\code-studios\code-studio-templates.md
What is the purpose of the 'Add an entry point' block in Code Studio templates?,To add predefined files inside the code-studio-specific file zones,To define the actual entry point of the container and start HTTP servers,To add arbitrary Dockerfile statements to the image,To control advanced settings for Kubernetes deployment,B,../data/dataiku\code-studios\code-studio-templates.md
Which block allows you to add arbitrary Dockerfile statements to the image in a Code Studio template?,Add custom action,Append to DockerFile,Add starter files,NGINX,B,../data/dataiku\code-studios\code-studio-templates.md
Which of the following is NOT a framework natively managed in DSS for web applications?,Flask,Bokeh,Streamlit,Dash,C,../data/dataiku\code-studios\code-studios-as-webapps.md
What is the purpose of the 'Append to Dockerfile' block in the Code Studio template?,To install necessary software onto the image,To define the entrypoint for the webapp,To expose a port for the webapp,To add starter files to the template,A,../data/dataiku\code-studios\code-studios-as-webapps.md
What is the default exposition method for webapps in DSS?,Direct IP access,Port forwarding,Load balancing,Reverse proxy,B,../data/dataiku\code-studios\code-studios-as-webapps.md
Which of the following is NOT a capability made possible by Code Studios in Dataiku?,Editing and debugging Python recipes in Visual Studio Code,Developing custom web applications using the Streamlit framework,Editing and debugging R recipes in RStudio Server,Accessing the DSS host filesystem directly,D,../data/dataiku\code-studios\concepts.md
What is required for a DSS administrator to set up before users can run a Code Studio?,A Code Studio template,A dedicated server,A specific user account,A separate database,A,../data/dataiku\code-studios\concepts.md
"In Dataiku Cloud, who needs to activate the 'Code-Studio' feature in the Launchpad?",A regular user,A space-admin,A system administrator,A project manager,B,../data/dataiku\code-studios\concepts.md
Which of the following IDEs can be used for editing and debugging Python recipes in Code Studios?,Visual Studio Code,JupyterLab,RStudio Server,Streamlit,A,../data/dataiku\code-studios\index.md
Which framework is mentioned for developing custom web applications in Code Studios?,Gradio,Voila,Streamlit,JupyterLab,C,../data/dataiku\code-studios\index.md
What is the purpose of the 'Sync files with DSS' button in a Code Studio?,To start the Code Studio.,To create a new Code Studio template.,To synchronize modified files in the container back to the DSS server’s filesystem.,To set a default cluster for the project.,C,../data/dataiku\code-studios\running.md
Which of the following steps is NOT required to create a JupyterLab Code Studio template?,Click on 'Create Code Studio template' in 'Administration > Code Studios',Add a 'Jupyterlab server' block in the 'Definition' tab,Grant access to DSS groups in the 'General' tab,Install the 'ripgrep' package,D,../data/dataiku\code-studios\code-studio-ides\jupyterlab.md
What is the purpose of the 'jupyter-resource-usage' extension in JupyterLab?,To enable search and replace functionality,To monitor resource usage of current notebooks,To synchronize files with DSS,To edit project libraries,B,../data/dataiku\code-studios\code-studio-ides\jupyterlab.md
What must be done to ensure work done in a JupyterLab Code Studio is not lost when the instance is stopped?,Install the 'ripgrep' package,Use the 'Sync files with DSS' button,Rebuild the JupyterLab template,Grant access to all DSS groups,B,../data/dataiku\code-studios\code-studio-ides\jupyterlab.md
What is the purpose of the 'Sync files with DSS' button in the RStudio Code Studio?,To start a new RStudio server instance.,To synchronize modified files in the container back to the DSS server’s filesystem.,To create a new Code Studio template.,To grant permission to use RStudio runtimes to DSS groups.,B,../data/dataiku\code-studios\code-studio-ides\rstudio.md
Which of the following steps is NOT required to launch a Code Studio instance?,Ensure the project is associated with a cluster.,Click 'New Code Studio' and select the 'rstudio-template' template.,Edit the project libraries in the RStudio file explorer.,Click 'Start' once in the Code Studio.,C,../data/dataiku\code-studios\code-studio-ides\rstudio.md
